CCAA de destino,Países,Trimestre,Total gasto,Total turistas,Dias estancia media
"Balears, Illes",Argentina,2023T2,"6002961,52","7597,00","7,93"
"Balears, Illes",Argentina,2023T1,"1314525,26","2057,00","8,77"
"Balears, Illes",Argentina,2022T4,"2700543,43","2606,00","9,87"
"Balears, Illes",Argentina,2022T3,"14976079,58","12995,00","10,30"
"Balears, Illes",Argentina,2022T2,"7368482,03","5615,00","8,70"
"Balears, Illes",Argentina,2022T1,"1451956,15","830,00","9,40"
"Balears, Illes",Argentina,2021T4,"1553961,79","1645,00","10,10"
"Balears, Illes",Argentina,2021T3,"2843381,31","2658,00","10,40"
"Balears, Illes",Argentina,2021T2,"829759,83","811,00","8,07"
"Balears, Illes",Argentina,2021T1,"206940,59","394,00","8,37"
"Balears, Illes",Argentina,2020T4,"313289,63","445,00","12,63"
"Balears, Illes",Argentina,2020T3,"1101084,11","683,00","11,80"
"Balears, Illes",Argentina,2020T2,"0,00","647,00","12,03"
"Balears, Illes",Argentina,2020T1,"584879,94","1309,00","11,40"
"Balears, Illes",Brasil,2023T2,"6004062,16","8153,00","5,20"
"Balears, Illes",Brasil,2023T1,"949390,98","737,00","7,57"
"Balears, Illes",Brasil,2022T4,"1511675,17","2365,00","6,20"
"Balears, Illes",Brasil,2022T3,"9013390,86","8701,00","7,63"
"Balears, Illes",Brasil,2022T2,"3948459,62","4570,00","6,37"
"Balears, Illes",Brasil,2022T1,"583159,84","665,00","9,90"
"Balears, Illes",Brasil,2021T4,"776214,96","983,00","7,20"
"Balears, Illes",Brasil,2021T3,"1407429,79","1105,00","7,13"
"Balears, Illes",Brasil,2021T2,"353680,98","339,00","9,00"
"Balears, Illes",Brasil,2021T1,"42693,15","198,00","10,13"
"Balears, Illes",Brasil,2020T4,"80121,51","231,00","14,03"
"Balears, Illes",Brasil,2020T3,"386377,55","518,00","11,03"
"Balears, Illes",Brasil,2020T2,"0,00","320,00","11,97"
"Balears, Illes",Brasil,2020T1,"497666,34","1034,00","9,70"
"Balears, Illes",Canadá,2023T2,"12507096,15","13210,00","5,13"
"Balears, Illes",Canadá,2023T1,"1888434,92","1733,00","6,57"
"Balears, Illes",Canadá,2022T4,"4709722,34","4435,00","6,07"
"Balears, Illes",Canadá,2022T3,"14274583,10","13156,00","5,90"
"Balears, Illes",Canadá,2022T2,"10557526,43","9003,00","6,20"
"Balears, Illes",Canadá,2022T1,"1178595,96","704,00","7,13"
"Balears, Illes",Canadá,2021T4,"1973125,76","996,00","6,43"
"Balears, Illes",Canadá,2021T3,"3741004,64","1598,00","5,87"
"Balears, Illes",Canadá,2021T2,"573238,19","262,00","4,63"
"Balears, Illes",Canadá,2021T1,"130752,85","30,00","3,47"
"Balears, Illes",Canadá,2020T4,"210218,67","125,00","10,20"
"Balears, Illes",Canadá,2020T3,"710688,66","328,00","7,67"
"Balears, Illes",Canadá,2020T2,"0,00","44,00","2,13"
"Balears, Illes",Canadá,2020T1,"689860,33","439,00","6,10"
"Balears, Illes",Chile,2023T2,"4516082,10","1785,00","6,83"
"Balears, Illes",Chile,2023T1,"797202,74","292,00","7,40"
"Balears, Illes",Chile,2022T4,"1305099,67","537,00","7,63"
"Balears, Illes",Chile,2022T3,"5691843,30","2424,00","6,80"
"Balears, Illes",Chile,2022T2,"3938719,10","1215,00","6,30"
"Balears, Illes",Chile,2022T1,"676008,69","198,00","8,47"
"Balears, Illes",Chile,2021T4,"1490800,84","362,00","8,40"
"Balears, Illes",Chile,2021T3,"4273437,98","755,00","8,07"
"Balears, Illes",Chile,2021T2,"573333,89","45,00","3,17"
"Balears, Illes",Chile,2021T1,"87226,74","0,00","0,00"
"Balears, Illes",Chile,2020T4,"127840,55","0,00","0,00"
"Balears, Illes",Chile,2020T3,"551490,96","90,00","7,10"
"Balears, Illes",Chile,2020T2,"0,00","0,00","0,00"
"Balears, Illes",Chile,2020T1,"281409,42","201,00","9,57"
"Balears, Illes",Colombia,2023T2,"2096584,52","6563,00","9,90"
"Balears, Illes",Colombia,2023T1,"836653,34","2710,00","10,90"
"Balears, Illes",Colombia,2022T4,"1073629,55","3621,00","9,73"
"Balears, Illes",Colombia,2022T3,"2336250,65","6165,00","9,57"
"Balears, Illes",Colombia,2022T2,"2076860,85","5563,00","8,97"
"Balears, Illes",Colombia,2022T1,"590483,56","1990,00","10,90"
"Balears, Illes",Colombia,2021T4,"686225,81","1797,00","8,60"
"Balears, Illes",Colombia,2021T3,"1103563,35","1413,00","8,43"
"Balears, Illes",Colombia,2021T2,"272253,61","584,00","9,43"
"Balears, Illes",Colombia,2021T1,"64972,92","458,00","10,27"
"Balears, Illes",Colombia,2020T4,"78986,92","701,00","13,60"
"Balears, Illes",Colombia,2020T3,"228115,54","950,00","14,50"
"Balears, Illes",Colombia,2020T2,"0,00","1040,00","13,43"
"Balears, Illes",Colombia,2020T1,"547535,73","1862,00","12,90"
"Balears, Illes",Estados Unidos de América,2023T2,"128407966,46","93145,00","4,93"
"Balears, Illes",Estados Unidos de América,2023T1,"21547589,76","9008,00","6,67"
"Balears, Illes",Estados Unidos de América,2022T4,"42429998,86","31817,00","5,67"
"Balears, Illes",Estados Unidos de América,2022T3,"161751315,67","116449,00","5,53"
"Balears, Illes",Estados Unidos de América,2022T2,"101540915,64","55104,00","5,33"
"Balears, Illes",Estados Unidos de América,2022T1,"15298043,87","5617,00","7,83"
"Balears, Illes",Estados Unidos de América,2021T4,"24110067,75","11250,00","8,03"
"Balears, Illes",Estados Unidos de América,2021T3,"79459177,77","37027,00","7,23"
